0,1,2,3,4,VNF,eNB,RC0,RC1,RC2,RC3,RC4,0,1,2,3,4,exec_time,bool_reloc0,bool_reloc1,bool_reloc2,bool_reloc3,bool_reloc4
11,8,24,25,21,0,0,26,20,22,24,23,39,54,49,44,51,5,1,1,0,0,1
14,10,8,23,10,0,1,26,20,22,24,23,54,36,33,31,39,5,1,1,0,0,1
6,11,13,13,12,0,2,26,20,22,24,23,47,27,33,49,52,5,1,1,0,0,1
21,22,24,5,18,0,3,26,20,22,24,23,44,37,28,43,28,5,1,1,0,0,1
23,12,18,18,18,0,4,26,20,22,24,23,36,54,55,27,40,5,1,1,0,0,1
21,7,15,20,21,0,5,26,20,22,24,23,38,45,45,45,36,5,1,1,0,0,1
5,7,5,9,9,0,6,26,20,22,24,23,44,31,29,45,35,5,1,1,0,0,1
7,14,13,7,23,0,7,26,20,22,24,23,37,49,50,45,26,5,1,1,0,0,1
13,22,5,14,9,0,8,26,20,22,24,23,43,50,41,51,41,5,1,1,0,0,1
19,5,19,21,13,0,9,26,20,22,24,23,42,40,46,39,44,5,1,1,0,0,1
23,8,21,15,16,0,10,26,20,22,24,23,53,25,30,49,45,5,1,1,0,0,1
6,6,7,16,14,0,11,26,20,22,24,23,50,25,53,55,37,5,1,1,0,0,1
21,11,21,12,11,1,0,26,20,22,24,23,30,54,27,29,32,3,0,0,1,0,0
12,6,25,19,8,1,1,26,20,22,24,23,32,42,31,42,52,3,0,0,1,0,0
10,20,19,13,6,1,2,26,20,22,24,23,51,44,39,40,49,3,0,0,1,0,0
17,12,25,5,15,1,3,26,20,22,24,23,25,26,32,39,26,3,0,0,1,0,0
25,23,15,19,14,1,4,26,20,22,24,23,37,30,55,33,48,3,0,0,1,0,0
7,7,13,19,19,1,5,26,20,22,24,23,37,39,40,47,46,3,0,0,1,0,0
5,19,9,15,5,1,6,26,20,22,24,23,27,27,52,34,49,3,0,0,1,0,0
22,22,11,13,8,1,7,26,20,22,24,23,41,55,25,36,34,3,0,0,1,0,0
17,24,24,11,17,1,8,26,20,22,24,23,29,40,35,33,25,3,0,0,1,0,0
15,9,9,23,6,1,9,26,20,22,24,23,33,54,54,51,30,3,0,0,1,0,0
21,10,15,13,23,1,10,26,20,22,24,23,49,47,42,53,46,3,0,0,1,0,0
20,7,18,23,20,1,11,26,20,22,24,23,37,55,34,52,39,3,0,0,1,0,0
17,13,21,21,18,2,0,26,20,22,24,23,53,47,45,53,42,5,0,0,1,1,1
7,12,9,8,10,2,1,26,20,22,24,23,51,41,34,30,45,5,0,0,1,1,1
19,16,17,25,10,2,2,26,20,22,24,23,30,38,32,42,41,5,0,0,1,1,1
14,9,8,13,19,2,3,26,20,22,24,23,46,41,47,33,25,5,0,0,1,1,1
10,18,11,15,16,2,4,26,20,22,24,23,50,31,50,30,41,5,0,0,1,1,1
25,23,22,11,17,2,5,26,20,22,24,23,32,26,53,39,39,5,0,0,1,1,1
20,25,13,17,23,2,6,26,20,22,24,23,45,51,31,27,37,5,0,0,1,1,1
10,20,23,23,17,2,7,26,20,22,24,23,33,29,30,26,35,5,0,0,1,1,1
21,20,23,7,14,2,8,26,20,22,24,23,42,42,48,26,27,5,0,0,1,1,1
18,21,13,7,13,2,9,26,20,22,24,23,35,48,45,40,54,5,0,0,1,1,1
20,24,9,19,22,2,10,26,20,22,24,23,44,26,34,35,36,5,0,0,1,1,1
9,9,22,24,21,2,11,26,20,22,24,23,30,34,48,48,52,5,0,0,1,1,1
20,10,19,7,24,3,0,26,20,22,24,23,44,37,47,47,50,4,1,1,1,0,1
19,9,25,9,12,3,1,26,20,22,24,23,47,33,40,29,50,4,1,1,1,0,1
22,25,12,20,6,3,2,26,20,22,24,23,49,44,49,45,42,4,1,1,1,0,1
6,13,21,14,21,3,3,26,20,22,24,23,47,37,43,35,27,4,1,1,1,0,1
17,14,9,13,16,3,4,26,20,22,24,23,32,54,48,35,50,4,1,1,1,0,1
6,20,17,9,18,3,5,26,20,22,24,23,49,33,35,25,51,4,1,1,1,0,1
17,6,25,16,17,3,6,26,20,22,24,23,50,53,32,51,42,4,1,1,1,0,1
21,16,18,15,7,3,7,26,20,22,24,23,46,49,25,43,26,4,1,1,1,0,1
22,5,7,16,12,3,8,26,20,22,24,23,43,53,52,36,44,4,1,1,1,0,1
8,25,16,16,15,3,9,26,20,22,24,23,44,25,51,31,47,4,1,1,1,0,1
23,16,24,18,15,3,10,26,20,22,24,23,37,29,40,51,33,4,1,1,1,0,1
17,21,10,11,14,3,11,26,20,22,24,23,44,42,54,26,51,4,1,1,1,0,1
12,9,7,14,12,4,0,26,20,22,24,23,41,32,55,34,47,3,1,0,0,0,0
8,20,15,18,20,4,1,26,20,22,24,23,40,43,32,37,49,3,1,0,0,0,0
7,12,18,14,19,4,2,26,20,22,24,23,40,30,34,32,55,3,1,0,0,0,0
7,10,13,10,18,4,3,26,20,22,24,23,32,39,42,40,50,3,1,0,0,0,0
6,13,6,9,14,4,4,26,20,22,24,23,45,44,48,43,32,3,1,0,0,0,0
17,8,17,14,24,4,5,26,20,22,24,23,44,29,48,48,47,3,1,0,0,0,0
20,17,18,5,25,4,6,26,20,22,24,23,43,49,54,36,54,3,1,0,0,0,0
21,7,14,21,25,4,7,26,20,22,24,23,45,50,50,44,47,3,1,0,0,0,0
19,15,11,21,23,4,8,26,20,22,24,23,55,41,45,55,32,3,1,0,0,0,0
12,12,17,16,19,4,9,26,20,22,24,23,48,50,50,30,33,3,1,0,0,0,0
14,10,22,22,12,4,10,26,20,22,24,23,50,31,40,41,33,3,1,0,0,0,0
13,10,8,5,20,4,11,26,20,22,24,23,54,26,35,52,52,3,1,0,0,0,0
5,15,23,18,12,5,0,26,20,22,24,23,30,55,31,53,32,3,1,1,0,1,0
21,12,14,21,16,5,1,26,20,22,24,23,40,53,40,51,27,3,1,1,0,1,0
21,9,12,5,8,5,2,26,20,22,24,23,39,37,45,47,38,3,1,1,0,1,0
15,5,9,22,20,5,3,26,20,22,24,23,47,39,52,49,44,3,1,1,0,1,0
17,20,6,16,12,5,4,26,20,22,24,23,48,33,32,33,41,3,1,1,0,1,0
19,12,24,12,19,5,5,26,20,22,24,23,30,51,37,25,40,3,1,1,0,1,0
