0,1,2,3,4,VNF,eNB,RC0,RC1,RC2,RC3,RC4,0,1,2,3,4,exec_time,bool_reloc0,bool_reloc1,bool_reloc2,bool_reloc3,bool_reloc4
15,25,13,9,21,0,0,22,26,20,28,28,28,32,26,44,51,3,1,1,0,0,0
5,16,8,25,11,0,1,22,26,20,28,28,31,27,43,45,28,3,1,1,0,0,0
25,5,9,15,7,0,2,22,26,20,28,28,55,30,46,37,25,3,1,1,0,0,0
20,17,16,11,23,0,3,22,26,20,28,28,38,30,48,43,52,3,1,1,0,0,0
9,20,5,10,9,0,4,22,26,20,28,28,40,49,37,51,53,3,1,1,0,0,0
23,6,25,18,16,0,5,22,26,20,28,28,28,55,36,39,45,3,1,1,0,0,0
13,9,5,20,8,0,6,22,26,20,28,28,55,50,31,40,27,3,1,1,0,0,0
11,24,24,18,5,0,7,22,26,20,28,28,54,28,41,40,27,3,1,1,0,0,0
8,19,12,11,24,0,8,22,26,20,28,28,50,47,26,28,29,3,1,1,0,0,0
21,18,18,20,6,0,9,22,26,20,28,28,54,27,39,50,54,3,1,1,0,0,0
17,5,9,12,22,0,10,22,26,20,28,28,50,25,39,34,46,3,1,1,0,0,0
20,20,15,6,16,0,11,22,26,20,28,28,30,49,38,33,31,3,1,1,0,0,0
20,22,16,18,21,1,0,22,26,20,28,28,43,27,34,26,48,4,1,0,0,0,0
23,15,24,13,13,1,1,22,26,20,28,28,49,45,32,44,44,4,1,0,0,0,0
22,25,12,14,12,1,2,22,26,20,28,28,44,33,55,35,38,4,1,0,0,0,0
7,5,9,6,22,1,3,22,26,20,28,28,55,53,31,50,53,4,1,0,0,0,0
10,24,15,18,8,1,4,22,26,20,28,28,43,37,31,30,54,4,1,0,0,0,0
7,22,10,18,9,1,5,22,26,20,28,28,40,39,28,25,53,4,1,0,0,0,0
20,18,15,18,21,1,6,22,26,20,28,28,38,32,29,49,49,4,1,0,0,0,0
22,6,8,12,6,1,7,22,26,20,28,28,39,37,50,30,27,4,1,0,0,0,0
14,9,18,15,16,1,8,22,26,20,28,28,28,47,42,47,46,4,1,0,0,0,0
17,15,13,14,21,1,9,22,26,20,28,28,51,46,38,33,28,4,1,0,0,0,0
20,20,13,23,22,1,10,22,26,20,28,28,53,50,53,26,53,4,1,0,0,0,0
23,13,12,23,20,1,11,22,26,20,28,28,52,36,42,31,32,4,1,0,0,0,0
6,10,21,9,9,2,0,22,26,20,28,28,29,31,50,35,33,3,0,0,0,1,0
11,25,22,23,6,2,1,22,26,20,28,28,27,39,47,40,37,3,0,0,0,1,0
22,22,24,23,23,2,2,22,26,20,28,28,42,44,52,43,47,3,0,0,0,1,0
10,20,12,11,11,2,3,22,26,20,28,28,38,47,36,53,29,3,0,0,0,1,0
16,6,23,5,15,2,4,22,26,20,28,28,39,28,36,47,44,3,0,0,0,1,0
18,14,25,9,25,2,5,22,26,20,28,28,41,35,30,54,45,3,0,0,0,1,0
10,23,25,14,14,2,6,22,26,20,28,28,27,33,31,52,46,3,0,0,0,1,0
7,6,19,10,13,2,7,22,26,20,28,28,33,36,49,38,42,3,0,0,0,1,0
21,6,22,5,14,2,8,22,26,20,28,28,28,55,34,32,38,3,0,0,0,1,0
21,12,5,11,12,2,9,22,26,20,28,28,49,43,45,26,25,3,0,0,0,1,0
23,15,22,6,16,2,10,22,26,20,28,28,40,26,32,53,40,3,0,0,0,1,0
17,11,7,11,20,2,11,22,26,20,28,28,25,35,40,38,31,3,0,0,0,1,0
8,19,5,13,19,3,0,22,26,20,28,28,31,42,52,32,40,2,0,1,0,0,0
21,11,16,8,22,3,1,22,26,20,28,28,49,43,29,47,40,2,0,1,0,0,0
17,24,24,25,24,3,2,22,26,20,28,28,25,40,26,29,48,2,0,1,0,0,0
10,8,20,16,17,3,3,22,26,20,28,28,54,37,26,44,44,2,0,1,0,0,0
18,9,25,14,21,3,4,22,26,20,28,28,54,36,55,32,53,2,0,1,0,0,0
9,24,23,14,20,3,5,22,26,20,28,28,29,31,40,37,52,2,0,1,0,0,0
5,17,10,22,18,3,6,22,26,20,28,28,37,28,37,41,37,2,0,1,0,0,0
20,19,13,18,13,3,7,22,26,20,28,28,36,54,28,37,32,2,0,1,0,0,0
21,5,17,25,9,3,8,22,26,20,28,28,34,27,32,50,50,2,0,1,0,0,0
17,13,17,22,6,3,9,22,26,20,28,28,39,41,38,53,51,2,0,1,0,0,0
16,22,18,15,9,3,10,22,26,20,28,28,44,48,55,49,46,2,0,1,0,0,0
12,22,7,10,15,3,11,22,26,20,28,28,52,48,53,41,33,2,0,1,0,0,0
20,23,11,25,24,4,0,22,26,20,28,28,42,47,51,34,41,3,0,0,1,0,0
6,24,18,15,5,4,1,22,26,20,28,28,27,39,39,43,47,3,0,0,1,0,0
24,5,6,15,5,4,2,22,26,20,28,28,32,32,50,32,36,3,0,0,1,0,0
6,5,12,19,11,4,3,22,26,20,28,28,29,55,33,33,47,3,0,0,1,0,0
22,7,20,16,15,4,4,22,26,20,28,28,54,41,25,45,55,3,0,0,1,0,0
14,10,9,20,22,4,5,22,26,20,28,28,30,25,49,36,50,3,0,0,1,0,0
9,15,20,22,5,4,6,22,26,20,28,28,49,45,33,27,52,3,0,0,1,0,0
12,24,13,9,25,4,7,22,26,20,28,28,48,27,51,29,36,3,0,0,1,0,0
10,8,11,16,9,4,8,22,26,20,28,28,34,46,35,53,27,3,0,0,1,0,0
13,23,8,20,10,4,9,22,26,20,28,28,29,51,47,51,36,3,0,0,1,0,0
12,12,6,16,19,4,10,22,26,20,28,28,53,34,33,29,42,3,0,0,1,0,0
22,11,24,20,12,4,11,22,26,20,28,28,26,44,51,54,26,3,0,0,1,0,0
5,10,23,21,10,5,0,22,26,20,28,28,39,25,49,37,37,3,0,1,1,1,1
14,8,19,10,22,5,1,22,26,20,28,28,26,25,39,33,25,3,0,1,1,1,1
24,18,13,22,25,5,2,22,26,20,28,28,43,38,38,39,29,3,0,1,1,1,1
12,11,6,23,22,5,3,22,26,20,28,28,41,25,53,29,55,3,0,1,1,1,1
19,10,20,7,5,5,4,22,26,20,28,28,39,30,25,54,44,3,0,1,1,1,1
24,23,13,5,13,5,5,22,26,20,28,28,38,54,25,42,25,3,0,1,1,1,1
25,24,13,12,15,5,6,22,26,20,28,28,43,32,26,28,46,3,0,1,1,1,1
25,15,19,10,9,5,7,22,26,20,28,28,30,30,39,33,51,3,0,1,1,1,1
23,25,22,24,20,5,8,22,26,20,28,28,32,30,36,28,29,3,0,1,1,1,1
