0,1,2,3,4,VNF,eNB,RC0,RC1,RC2,RC3,RC4,0,1,2,3,4,exec_time,bool_reloc0,bool_reloc1,bool_reloc2,bool_reloc3,bool_reloc4
5,3,5,5,4,0,0,26,30,29,24,26,45,52,38,52,25,5,1,1,1,1,0
5,4,5,5,3,0,1,26,30,29,24,26,31,51,33,34,50,5,1,1,1,1,0
4,5,3,3,3,0,2,26,30,29,24,26,54,48,43,51,27,5,1,1,1,1,0
4,5,5,3,3,0,3,26,30,29,24,26,34,30,35,47,28,5,1,1,1,1,0
3,5,3,3,3,0,4,26,30,29,24,26,40,43,27,40,33,5,1,1,1,1,0
3,5,3,4,4,1,0,26,30,29,24,26,35,42,51,49,53,3,0,1,0,1,1
5,5,3,4,4,1,1,26,30,29,24,26,47,29,36,43,51,3,0,1,0,1,1
4,3,5,5,5,1,2,26,30,29,24,26,34,45,36,48,46,3,0,1,0,1,1
4,3,3,5,3,1,3,26,30,29,24,26,29,29,52,50,41,3,0,1,0,1,1
3,3,3,3,4,1,4,26,30,29,24,26,46,53,46,52,32,3,0,1,0,1,1
4,3,3,5,3,2,0,26,30,29,24,26,29,25,25,36,44,3,1,0,0,1,1
4,4,4,4,4,2,1,26,30,29,24,26,38,54,26,35,51,3,1,0,0,1,1
5,4,5,4,4,2,2,26,30,29,24,26,55,27,40,28,53,3,1,0,0,1,1
4,4,4,4,5,2,3,26,30,29,24,26,52,40,48,47,54,3,1,0,0,1,1
5,4,5,5,4,2,4,26,30,29,24,26,39,28,50,37,50,3,1,0,0,1,1
5,5,3,3,3,3,0,26,30,29,24,26,42,51,47,43,37,3,1,1,0,0,0
3,4,4,3,3,3,1,26,30,29,24,26,51,29,55,28,34,3,1,1,0,0,0
4,4,4,4,3,3,2,26,30,29,24,26,34,30,50,32,29,3,1,1,0,0,0
3,4,5,3,3,3,3,26,30,29,24,26,40,44,29,35,27,3,1,1,0,0,0
3,3,5,3,4,3,4,26,30,29,24,26,26,45,36,45,39,3,1,1,0,0,0
4,4,4,4,4,4,0,26,30,29,24,26,38,28,33,50,37,1,1,0,1,1,0
3,3,4,5,5,4,1,26,30,29,24,26,48,30,33,46,40,1,1,0,1,1,0
3,4,5,5,5,4,2,26,30,29,24,26,51,33,40,41,28,1,1,0,1,1,0
5,4,5,3,4,4,3,26,30,29,24,26,43,38,46,31,40,1,1,0,1,1,0
3,3,5,5,4,4,4,26,30,29,24,26,54,40,51,38,49,1,1,0,1,1,0
5,4,4,4,5,5,0,26,30,29,24,26,39,54,45,52,41,3,0,1,1,1,1
3,4,3,3,4,5,1,26,30,29,24,26,46,36,29,34,39,3,0,1,1,1,1
5,3,3,4,4,5,2,26,30,29,24,26,44,47,28,50,53,3,0,1,1,1,1
3,3,4,3,5,5,3,26,30,29,24,26,41,33,36,43,37,3,0,1,1,1,1
5,3,4,4,4,5,4,26,30,29,24,26,55,46,26,35,37,3,0,1,1,1,1
3,4,4,4,4,6,0,26,30,29,24,26,43,38,44,50,40,4,1,1,1,1,1
3,5,3,3,4,6,1,26,30,29,24,26,51,26,30,44,44,4,1,1,1,1,1
3,3,4,4,3,6,2,26,30,29,24,26,43,42,32,52,26,4,1,1,1,1,1
5,4,5,4,4,6,3,26,30,29,24,26,27,54,33,35,54,4,1,1,1,1,1
4,5,3,5,3,6,4,26,30,29,24,26,31,37,38,48,34,4,1,1,1,1,1
4,3,5,4,3,7,0,26,30,29,24,26,41,54,31,44,32,3,0,0,0,0,0
4,4,3,5,4,7,1,26,30,29,24,26,36,45,34,36,46,3,0,0,0,0,0
5,4,5,4,3,7,2,26,30,29,24,26,49,47,27,50,33,3,0,0,0,0,0
3,5,5,3,5,7,3,26,30,29,24,26,48,42,48,34,30,3,0,0,0,0,0
4,5,4,5,4,7,4,26,30,29,24,26,48,41,50,27,29,3,0,0,0,0,0
4,4,4,4,4,8,0,26,30,29,24,26,47,42,48,45,27,1,0,1,0,1,0
3,4,3,4,3,8,1,26,30,29,24,26,44,34,52,53,48,1,0,1,0,1,0
4,4,3,5,3,8,2,26,30,29,24,26,53,50,33,38,51,1,0,1,0,1,0
4,4,5,3,3,8,3,26,30,29,24,26,31,28,29,47,32,1,0,1,0,1,0
5,5,5,3,5,8,4,26,30,29,24,26,33,48,25,50,45,1,0,1,0,1,0
