0,1,2,3,4,VNF,eNB,RC0,RC1,RC2,RC3,RC4,0,1,2,3,4,CD0,CD1,CD2,CD3,CD4,max_cap0,max_cap1,max_cap2,max_cap3,max_cap4,exec_time,bool_reloc0,bool_reloc1,bool_reloc2,bool_reloc3,bool_reloc4
16,21,15,15,21,0,0,29,25,21,25,21,35,44,34,33,47,29,25,21,25,21,74,357,674,944,55,3,1,0,1,1,1
6,25,22,25,12,0,1,29,25,21,25,21,45,55,39,26,45,29,25,21,25,21,74,357,674,944,55,3,1,0,1,1,1
18,11,24,14,18,0,2,29,25,21,25,21,41,39,53,34,51,29,25,21,25,21,74,357,674,944,55,3,1,0,1,1,1
7,10,14,22,6,0,3,29,25,21,25,21,32,38,50,53,49,29,25,21,25,21,74,357,674,944,55,3,1,0,1,1,1
8,17,16,23,13,0,4,29,25,21,25,21,53,30,28,54,32,29,25,21,25,21,74,357,674,944,55,3,1,0,1,1,1
22,12,10,9,10,0,5,29,25,21,25,21,38,30,33,34,54,29,25,21,25,21,74,357,674,944,55,3,1,0,1,1,1
9,11,7,19,20,1,0,29,25,21,25,21,50,25,26,42,32,29,25,21,25,21,74,357,674,944,55,5,0,0,0,1,1
7,15,19,22,21,1,1,29,25,21,25,21,26,28,42,34,35,29,25,21,25,21,74,357,674,944,55,5,0,0,0,1,1
23,7,8,6,22,1,2,29,25,21,25,21,48,53,49,32,29,29,25,21,25,21,74,357,674,944,55,5,0,0,0,1,1
17,18,17,21,16,1,3,29,25,21,25,21,39,30,38,55,48,29,25,21,25,21,74,357,674,944,55,5,0,0,0,1,1
5,6,6,11,7,1,4,29,25,21,25,21,36,42,32,27,38,29,25,21,25,21,74,357,674,944,55,5,0,0,0,1,1
19,20,6,21,5,1,5,29,25,21,25,21,36,26,48,30,51,29,25,21,25,21,74,357,674,944,55,5,0,0,0,1,1
8,19,14,9,7,2,0,29,25,21,25,21,46,35,49,45,55,29,25,21,25,21,74,357,674,944,55,3,0,1,1,1,0
16,15,8,24,8,2,1,29,25,21,25,21,38,43,26,43,41,29,25,21,25,21,74,357,674,944,55,3,0,1,1,1,0
23,20,21,20,19,2,2,29,25,21,25,21,25,54,55,34,41,29,25,21,25,21,74,357,674,944,55,3,0,1,1,1,0
22,11,15,7,13,2,3,29,25,21,25,21,27,50,53,25,25,29,25,21,25,21,74,357,674,944,55,3,0,1,1,1,0
21,22,17,17,10,2,4,29,25,21,25,21,38,52,38,54,45,29,25,21,25,21,74,357,674,944,55,3,0,1,1,1,0
6,15,12,20,21,2,5,29,25,21,25,21,36,31,46,51,25,29,25,21,25,21,74,357,674,944,55,3,0,1,1,1,0
8,23,19,20,12,3,0,29,25,21,25,21,48,41,30,33,46,29,25,21,25,21,74,357,674,944,55,2,1,1,0,1,1
21,22,22,6,22,3,1,29,25,21,25,21,45,42,45,48,29,29,25,21,25,21,74,357,674,944,55,2,1,1,0,1,1
5,9,8,14,23,3,2,29,25,21,25,21,51,28,30,40,32,29,25,21,25,21,74,357,674,944,55,2,1,1,0,1,1
12,21,12,12,6,3,3,29,25,21,25,21,41,34,49,26,27,29,25,21,25,21,74,357,674,944,55,2,1,1,0,1,1
19,15,19,13,6,3,4,29,25,21,25,21,37,47,50,51,25,29,25,21,25,21,74,357,674,944,55,2,1,1,0,1,1
12,10,23,14,9,3,5,29,25,21,25,21,49,47,34,38,36,29,25,21,25,21,74,357,674,944,55,2,1,1,0,1,1
8,5,19,17,11,4,0,29,25,21,25,21,27,28,31,44,53,29,25,21,25,21,74,357,674,944,55,4,1,1,1,0,1
9,12,24,5,12,4,1,29,25,21,25,21,43,37,38,32,50,29,25,21,25,21,74,357,674,944,55,4,1,1,1,0,1
18,6,25,14,9,4,2,29,25,21,25,21,42,33,44,36,40,29,25,21,25,21,74,357,674,944,55,4,1,1,1,0,1
9,19,13,9,25,4,3,29,25,21,25,21,43,27,29,45,50,29,25,21,25,21,74,357,674,944,55,4,1,1,1,0,1
15,18,6,17,7,4,4,29,25,21,25,21,42,40,51,55,31,29,25,21,25,21,74,357,674,944,55,4,1,1,1,0,1
18,17,5,21,13,4,5,29,25,21,25,21,36,41,27,53,48,29,25,21,25,21,74,357,674,944,55,4,1,1,1,0,1
10,15,8,24,7,5,0,29,25,21,25,21,26,38,44,26,52,29,25,21,25,21,74,357,674,944,55,3,0,0,0,0,1
10,18,24,10,14,5,1,29,25,21,25,21,44,50,42,32,41,29,25,21,25,21,74,357,674,944,55,3,0,0,0,0,1
19,9,20,9,7,5,2,29,25,21,25,21,55,27,48,30,37,29,25,21,25,21,74,357,674,944,55,3,0,0,0,0,1
5,7,9,18,6,5,3,29,25,21,25,21,44,26,49,28,42,29,25,21,25,21,74,357,674,944,55,3,0,0,0,0,1
18,11,14,23,11,5,4,29,25,21,25,21,35,36,50,25,35,29,25,21,25,21,74,357,674,944,55,3,0,0,0,0,1
25,11,16,12,16,5,5,29,25,21,25,21,27,37,26,54,34,29,25,21,25,21,74,357,674,944,55,3,0,0,0,0,1
9,23,12,9,21,6,0,29,25,21,25,21,27,26,47,45,27,29,25,21,25,21,74,357,674,944,55,3,1,1,1,0,0
19,24,21,13,21,6,1,29,25,21,25,21,53,41,53,31,45,29,25,21,25,21,74,357,674,944,55,3,1,1,1,0,0
15,6,11,25,8,6,2,29,25,21,25,21,36,35,54,27,46,29,25,21,25,21,74,357,674,944,55,3,1,1,1,0,0
19,19,13,11,24,6,3,29,25,21,25,21,34,27,29,40,35,29,25,21,25,21,74,357,674,944,55,3,1,1,1,0,0
22,15,20,5,11,6,4,29,25,21,25,21,53,33,33,29,54,29,25,21,25,21,74,357,674,944,55,3,1,1,1,0,0
13,16,20,17,21,6,5,29,25,21,25,21,32,49,48,43,26,29,25,21,25,21,74,357,674,944,55,3,1,1,1,0,0
5,5,24,17,24,7,0,29,25,21,25,21,38,33,44,43,26,29,25,21,25,21,74,357,674,944,55,2,0,1,0,1,1
13,15,23,13,14,7,1,29,25,21,25,21,54,45,37,54,39,29,25,21,25,21,74,357,674,944,55,2,0,1,0,1,1
25,11,17,22,16,7,2,29,25,21,25,21,46,49,47,55,26,29,25,21,25,21,74,357,674,944,55,2,0,1,0,1,1
11,9,22,11,7,7,3,29,25,21,25,21,48,54,27,41,47,29,25,21,25,21,74,357,674,944,55,2,0,1,0,1,1
17,12,20,12,25,7,4,29,25,21,25,21,34,40,39,38,46,29,25,21,25,21,74,357,674,944,55,2,0,1,0,1,1
10,17,24,5,8,7,5,29,25,21,25,21,35,36,43,44,48,29,25,21,25,21,74,357,674,944,55,2,0,1,0,1,1
22,22,8,18,24,8,0,29,25,21,25,21,27,52,31,29,34,29,25,21,25,21,74,357,674,944,55,4,1,0,1,0,0
9,21,23,22,16,8,1,29,25,21,25,21,52,35,33,28,40,29,25,21,25,21,74,357,674,944,55,4,1,0,1,0,0
7,21,25,22,17,8,2,29,25,21,25,21,55,30,54,33,29,29,25,21,25,21,74,357,674,944,55,4,1,0,1,0,0
